,country,population,cases,deaths,day
129,Honduras,10221247.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '46432', 'total': 474590}","{'new': None, '1M_pop': '1092', 'total': 11165}",2024-09-28
130,Armenia,2971966.0,"{'new': None, 'active': 7892, 'critical': None, 'recovered': 435162, '1M_pop': '152031', 'total': 451831}","{'new': None, '1M_pop': '2953', 'total': 8777}",2024-09-28
131,Bosnia-and-Herzegovina,3249317.0,"{'new': None, 'active': 8143, 'critical': None, 'recovered': 379084, '1M_pop': '124215', 'total': 403615}","{'new': None, '1M_pop': '5044', 'total': 16388}",2024-09-28
132,Oman,5323993.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '75028', 'total': 399449}","{'new': None, '1M_pop': '869', 'total': 4628}",2024-09-28
133,Luxembourg,642371.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '609044', 'total': 391232}","{'new': None, '1M_pop': '1918', 'total': 1232}",2024-09-28
134,North-Macedonia,2081304.0,"{'new': None, 'active': 3523, 'critical': None, 'recovered': 337068, '1M_pop': '168436', 'total': 350567}","{'new': None, '1M_pop': '4793', 'total': 9976}",2024-09-28
135,Zambia,19470234.0,"{'new': None, 'active': 3919, 'critical': None, 'recovered': 341316, '1M_pop': '17940', 'total': 349304}","{'new': None, '1M_pop': '209', 'total': 4069}",2024-09-28
136,Kenya,56215221.0,"{'new': None, 'active': 1132, 'critical': None, 'recovered': 337309, '1M_pop': '6122', 'total': 344130}","{'new': None, '1M_pop': '101', 'total': 5689}",2024-09-28
137,Brunei,445431.0,"{'new': None, 'active': 99893, 'critical': 3, 'recovered': 243601, '1M_pop': '771655', 'total': 343719}","{'new': None, '1M_pop': '505', 'total': 225}",2024-09-28
138,Albania,2866374.0,"{'new': None, 'active': 1025, 'critical': None, 'recovered': 330233, '1M_pop': '116825', 'total': 334863}","{'new': None, '1M_pop': '1258', 'total': 3605}",2024-09-28
139,Botswana,2441162.0,"{'new': None, 'active': 788, 'critical': 1, 'recovered': 327049, '1M_pop': '135443', 'total': 330638}","{'new': None, '1M_pop': '1147', 'total': 2801}",2024-09-28
140,Venezuela,29266991.0,"{'new': '+10', 'active': 302, 'critical': 31, 'recovered': 546537, '1M_pop': '18885', 'total': 552695}","{'new': None, '1M_pop': '200', 'total': 5856}",2024-09-28
141,Egypt,106156692.0,"{'new': None, 'active': 49228, 'critical': 122, 'recovered': 442182, '1M_pop': '4861', 'total': 516023}","{'new': None, '1M_pop': '232', 'total': 24613}",2024-09-28
142,Qatar,2979915.0,"{'new': '+28', 'active': 147, 'critical': 16, 'recovered': 513687, '1M_pop': '172664', 'total': 514524}","{'new': None, '1M_pop': '232', 'total': 690}",2024-09-28
143,Bahrain,1783983.0,"{'new': None, 'active': 60, 'critical': None, 'recovered': 727915, '1M_pop': '408944', 'total': 729549}","{'new': None, '1M_pop': '882', 'total': 1574}",2024-09-28
